index,csd_code,csd_name,population_count,income_index,education_index,dwellings_index,labour_index,cwb_index,community_type,csd_type,province_territory,province_code
916,1001113,Trepassey,481,80,50,98,70,74,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
1333,1001126,Cape Broyle,489,74,51,96,83,76,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
1594,1001131,Renews-Cappahayden,301,79,54,98,75,77,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
1334,1001136,Fermeuse,325,80,49,99,77,76,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
1108,1001149,Ferryland,414,73,55,96,76,75,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
406,1001169,St. Vincent's-St. Stephen's-Peter's River,313,71,39,100,59,67,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
1109,1001178,St. Mary's,347,76,50,98,78,75,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
771,1001197,Mount Carmel-Mitchells Brook-St. Catherine's,349,84,49,98,62,73,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
772,1001228,St. Bride's,252,76,51,97,66,73,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
1596,1001240,Placentia,3496,79,57,96,77,77,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
513,1001267,Southern Harbour,369,80,47,92,64,70,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
1335,1001270,Arnold's Cove,949,79,49,96,80,76,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
2490,1001277,Sunnyside,396,88,51,97,82,80,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
918,1001281,Chance Cove,256,78,44,99,74,74,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
1110,1001285,Norman's Cove-Long Cove,666,81,43,96,80,75,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
919,1001289,Chapel Arm,457,74,50,96,74,74,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
1111,1001298,Whitbourne,890,75,52,95,79,75,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
1597,1001308,Whiteway,373,80,56,98,75,77,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
1112,1001312,Heart's Delight-Islington,674,74,53,96,77,75,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
1336,1001325,Heart's Content,340,80,50,98,77,76,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
920,1001332,Winterton,450,73,50,94,80,74,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
659,1001335,Hant's Harbour,329,71,49,89,77,72,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
1863,1001343,Old Perlican,633,81,54,99,80,78,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
776,1001347,Bay de Verde,392,66,45,98,82,73,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
1598,1001352,Small Point-Adam's Cove-Blackhead-Broad Cove,387,74,57,97,81,77,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
778,1001361,Salmon Cove,680,76,51,96,71,73,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
779,1001365,Victoria,1800,73,48,98,74,73,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
1599,1001370,Carbonear,4858,76,57,96,78,77,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
1337,1001375,Bryant's Cove,395,81,50,100,74,76,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
1113,1001379,Harbour Grace,2995,74,56,93,76,75,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
1114,1001385,Upper Island Cove,1561,76,56,96,73,75,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
514,1001394,Bishop's Cove,287,70,44,91,76,70,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
1600,1001396,Spaniard's Bay,2653,75,58,96,79,77,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
1864,1001409,Bay Roberts,6012,76,59,97,81,78,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
1601,1001426,North River,570,76,63,99,70,77,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
1865,1001429,Clarke's Beach,1558,76,59,97,82,78,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
2802,1001434,South River,647,82,59,96,84,81,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
1339,1001437,Cupids,743,75,60,94,75,76,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
922,1001446,Brigus,723,78,53,90,75,74,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
924,1001456,Colliers,654,81,58,91,65,74,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
2187,1001461,Conception Harbour,685,83,57,98,78,79,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
2803,1001464,Avondale,641,83,66,95,81,81,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
2804,1001469,Harbour Main-Chapel's Cove-Lakeview,1067,86,62,98,78,81,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
2805,1001472,Holyrood,2463,81,62,97,83,81,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
3061,1001485,Conception Bay South,26199,81,64,99,87,82,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
345,1001494,Wabana,2146,62,44,93,64,65,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
3510,1001504,Portugal Cove-St. Philip's,8147,85,68,97,88,85,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
2188,1001505,Pouch Cove,2069,76,60,96,85,79,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
3258,1001507,Flatrock,1683,83,63,99,86,83,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
3511,1001509,Torbay,7899,84,69,98,87,85,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
3616,1001511,Logy Bay-Middle Cove-Outer Cove,2221,87,74,99,88,87,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
1866,1001512,Bauline,452,74,57,99,83,78,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
3585,1001517,Paradise,21389,86,70,99,89,86,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
3411,1001519,St. John's,108860,84,70,97,84,84,Non-Indigenous Community,City,Newfoundland and Labrador,1001
3259,1001542,Mount Pearl,22957,82,66,98,86,83,Non-Indigenous Community,City,Newfoundland and Labrador,1001
2189,1001551,Petty Harbour-Maddox Cove,960,77,54,99,86,79,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
3062,1001557,Bay Bulls,1500,83,62,95,87,82,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
2806,1001559,Witless Bay,1619,82,61,97,84,81,Non-Indigenous Community,Town,Newfoundland and Labrador,1001
1602,1002002,Lewin's Cove,544,81,55,94,78,77,Non-Indigenous Community,Town,Newfoundland and Labrador,1002
1340,1002005,Burin,2315,80,52,96,75,76,Non-Indigenous Community,Town,Newfoundland and Labrador,1002
1115,1002008,St. Lawrence,1192,73,58,91,79,75,Non-Indigenous Community,Town,Newfoundland and Labrador,1002
780,1002011,Lawn,624,78,48,95,71,73,Non-Indigenous Community,Town,Newfoundland and Labrador,1002
781,1002012,Lamaline,267,77,49,97,70,73,Non-Indigenous Community,Town,Newfoundland and Labrador,1002
515,1002018,Fortune,1401,72,39,91,76,70,Non-Indigenous Community,Town,Newfoundland and Labrador,1002
782,1002019,Grand Bank,2310,74,47,98,75,73,Non-Indigenous Community,Town,Newfoundland and Labrador,1002
1341,1002021,Garnish,568,81,46,97,78,76,Non-Indigenous Community,Town,Newfoundland and Labrador,1002
3063,1002023,Winterland,390,85,63,100,79,82,Non-Indigenous Community,Town,Newfoundland and Labrador,1002
1342,1002024,Marystown,5316,79,55,96,74,76,Non-Indigenous Community,Town,Newfoundland and Labrador,1002
783,1002025,Fox Cove-Mortier,295,76,43,95,79,73,Non-Indigenous Community,Town,Newfoundland and Labrador,1002
407,1002036,Terrenceville,482,75,36,96,59,67,Non-Indigenous Community,Town,Newfoundland and Labrador,1002
517,1002041,St. Bernard's-Jacques Fontaine,433,79,41,90,71,70,Non-Indigenous Community,Town,Newfoundland and Labrador,1002
518,1003003,St. Jacques-Coomb's Cove,588,68,41,98,73,70,Non-Indigenous Community,Town,Newfoundland and Labrador,1003
254,1003004,Belleoram,374,56,25,91,69,60,Non-Indigenous Community,Town,Newfoundland and Labrador,1003
925,1003008,Harbour Breton,1634,76,44,98,78,74,Non-Indigenous Community,Town,Newfoundland and Labrador,1003
519,1003011,Hermitage-Sandyville,422,69,38,94,79,70,Non-Indigenous Community,Town,Newfoundland and Labrador,1003
785,1003018,Milltown-Head of Bay d'Espoir,749,75,47,97,75,73,Non-Indigenous Community,Town,Newfoundland and Labrador,1003
786,1003019,St. Alban's,1186,74,45,96,77,73,Non-Indigenous Community,Town,Newfoundland and Labrador,1003
520,1003026,Ramea,447,73,37,94,75,70,Non-Indigenous Community,Town,Newfoundland and Labrador,1003
427,1003028,Burgeo,1307,71,39,96,65,68,Non-Indigenous Community,Town,Newfoundland and Labrador,1003
428,1003032,Isle aux Morts,664,70,40,97,65,68,Non-Indigenous Community,Town,Newfoundland and Labrador,1003
408,1003033,Burnt Islands,622,73,30,96,70,67,Non-Indigenous Community,Town,Newfoundland and Labrador,1003
926,1003034,Channel-Port aux Basques,4067,74,49,95,76,74,Non-Indigenous Community,Town,Newfoundland and Labrador,1003
372,1003045,Rose Blanche-Harbour le Cou,394,72,35,95,60,66,Non-Indigenous Community,Town,Newfoundland and Labrador,1003
589,1003801,Samiajij Miawpukek,956,68,54,94,69,71,First Nations Community,Indian reserve,Newfoundland and Labrador,1003
927,1004013,St. George's,1203,74,56,95,72,74,Non-Indigenous Community,Town,Newfoundland and Labrador,1004
456,1004018,Stephenville Crossing,1719,70,47,91,66,69,Non-Indigenous Community,Town,Newfoundland and Labrador,1004
1116,1004019,Stephenville,6623,72,56,96,75,75,Non-Indigenous Community,Town,Newfoundland and Labrador,1004
2807,1004020,Kippens,2008,82,65,97,79,81,Non-Indigenous Community,Town,Newfoundland and Labrador,1004
1117,1004021,Port au Port East,579,72,57,96,74,75,Non-Indigenous Community,Town,Newfoundland and Labrador,1004
288,1004033,Cape St. George,853,64,37,86,60,62,Non-Indigenous Community,Town,Newfoundland and Labrador,1004
310,1004037,Lourdes,465,63,39,91,58,63,Non-Indigenous Community,Town,Newfoundland and Labrador,1004
457,1004042,Port au Port West-Aguathuna-Felix Cove,449,73,42,93,67,69,Non-Indigenous Community,Town,Newfoundland and Labrador,1004
1343,1005004,Deer Lake,5249,74,55,97,78,76,Non-Indigenous Community,Town,Newfoundland and Labrador,1005
329,1005005,Jackson's Arm,284,65,36,91,65,64,Non-Indigenous Community,Town,Newfoundland and Labrador,1005
374,1005008,Hampden,429,69,37,86,73,66,Non-Indigenous Community,Town,Newfoundland and Labrador,1005
1344,1005009,Reidville,509,73,57,95,77,76,Non-Indigenous Community,Town,Newfoundland and Labrador,1005
3636,1005011,Steady Brook,444,94,76,97,84,88,Non-Indigenous Community,Town,Newfoundland and Labrador,1005
2808,1005012,Pasadena,3620,80,65,98,80,81,Non-Indigenous Community,Town,Newfoundland and Labrador,1005
787,1005014,Cormack,597,70,57,93,73,73,Non-Indigenous Community,Town,Newfoundland and Labrador,1005
1118,1005015,Gillams,410,72,57,92,78,75,Non-Indigenous Community,Town,Newfoundland and Labrador,1005
3586,1005017,Massey Drive,1632,82,71,100,90,86,Non-Indigenous Community,Town,Newfoundland and Labrador,1005
2190,1005018,Corner Brook,19806,76,61,97,81,79,Non-Indigenous Community,City,Newfoundland and Labrador,1005
788,1005020,Humber Arm South,1599,74,46,95,78,73,Non-Indigenous Community,Town,Newfoundland and Labrador,1005
430,1005022,McIvers,538,63,46,92,70,68,Non-Indigenous Community,Town,Newfoundland and Labrador,1005
375,1005023,Cox's Cove,688,68,35,96,63,66,Non-Indigenous Community,Town,Newfoundland and Labrador,1005
522,1005024,Lark Harbour,522,70,33,97,78,70,Non-Indigenous Community,Town,Newfoundland and Labrador,1005
1345,1005025,Meadows,626,74,53,97,81,76,Non-Indigenous Community,Town,Newfoundland and Labrador,1005
2191,1005030,Irishtown-Summerside,1418,76,58,99,82,79,Non-Indigenous Community,Town,Newfoundland and Labrador,1005
1346,1005033,Mount Moriah,746,73,54,99,78,76,Non-Indigenous Community,Town,Newfoundland and Labrador,1005
431,1005035,York Harbour,344,69,45,87,71,68,Non-Indigenous Community,Town,Newfoundland and Labrador,1005
432,1006003,Norris Arm,737,70,44,94,64,68,Non-Indigenous Community,Town,Newfoundland and Labrador,1006
3064,1006009,Gander,11688,81,63,98,85,82,Non-Indigenous Community,Town,Newfoundland and Labrador,1006
2809,1006011,Appleton,574,80,56,99,88,81,Non-Indigenous Community,Town,Newfoundland and Labrador,1006
590,1006012,Glenwood,778,72,53,85,73,71,Non-Indigenous Community,Town,Newfoundland and Labrador,1006
662,1006015,Northern Arm,426,69,53,87,77,72,Non-Indigenous Community,Town,Newfoundland and Labrador,1006
1603,1006017,Grand Falls-Windsor,14171,76,60,96,78,77,Non-Indigenous Community,Town,Newfoundland and Labrador,1006
790,1006019,Bishop's Falls,3156,73,49,97,74,73,Non-Indigenous Community,Town,Newfoundland and Labrador,1006
289,1006021,Peterview,828,63,25,97,65,62,Non-Indigenous Community,Town,Newfoundland and Labrador,1006
663,1006022,Botwood,2875,70,49,94,75,72,Non-Indigenous Community,Town,Newfoundland and Labrador,1006
928,1006026,Badger,704,76,48,97,74,74,Non-Indigenous Community,Town,Newfoundland and Labrador,1006
458,1006031,Buchans,642,70,48,95,65,69,Non-Indigenous Community,Town,Newfoundland and Labrador,1006
2810,1007013,Clarenville,6291,81,62,96,85,81,Non-Indigenous Community,Town,Newfoundland and Labrador,1007
591,1007016,Port Rexton,340,66,52,95,70,71,Non-Indigenous Community,Town,Newfoundland and Labrador,1007
459,1007020,Elliston,308,64,50,98,63,69,Non-Indigenous Community,Town,Newfoundland and Labrador,1007
592,1007022,Trinity Bay North,1819,70,48,98,69,71,Non-Indigenous Community,Town,Newfoundland and Labrador,1007
666,1007023,Bonavista,3448,71,47,96,73,72,Non-Indigenous Community,Town,Newfoundland and Labrador,1007
792,1007032,Musgravetown,564,76,48,99,70,73,Non-Indigenous Community,Town,Newfoundland and Labrador,1007
793,1007036,Port Blandford,601,77,43,98,75,73,Non-Indigenous Community,Town,Newfoundland and Labrador,1007
667,1007037,Traytown,267,79,48,94,68,72,Non-Indigenous Community,Town,Newfoundland and Labrador,1007
794,1007042,Eastport,501,76,52,92,72,73,Non-Indigenous Community,Town,Newfoundland and Labrador,1007
1121,1007044,Glovertown,2083,76,56,97,72,75,Non-Indigenous Community,Town,Newfoundland and Labrador,1007
795,1007047,Gambo,1978,70,54,93,74,73,Non-Indigenous Community,Town,Newfoundland and Labrador,1007
409,1007049,Hare Bay,969,70,43,91,64,67,Non-Indigenous Community,Town,Newfoundland and Labrador,1007
410,1007050,Centreville-Wareham-Trinity,1147,70,35,97,64,67,Non-Indigenous Community,Town,Newfoundland and Labrador,1007
594,1007054,Greenspond,266,72,41,99,71,71,Non-Indigenous Community,Town,Newfoundland and Labrador,1007
330,1007057,Dover,662,68,33,95,58,64,Non-Indigenous Community,Town,Newfoundland and Labrador,1007
1122,1007060,New-Wes-Valley,2172,75,51,96,78,75,Non-Indigenous Community,Town,Newfoundland and Labrador,1007
1604,1008004,Lumsden,501,78,52,97,82,77,Non-Indigenous Community,Town,Newfoundland and Labrador,1008
668,1008006,Musgrave Harbour,990,73,43,97,73,72,Non-Indigenous Community,Town,Newfoundland and Labrador,1008
461,1008011,Carmanville,740,70,43,94,69,69,Non-Indigenous Community,Town,Newfoundland and Labrador,1008
462,1008033,Summerford,906,72,40,93,71,69,Non-Indigenous Community,Town,Newfoundland and Labrador,1008
796,1008035,Twillingate,2196,75,46,96,75,73,Non-Indigenous Community,Town,Newfoundland and Labrador,1008
930,1008037,Campbellton,452,74,55,95,74,74,Non-Indigenous Community,Town,Newfoundland and Labrador,1008
464,1008038,Birchy Bay,550,70,42,91,74,69,Non-Indigenous Community,Town,Newfoundland and Labrador,1008
595,1008039,Comfort Cove-Newstead,407,73,37,98,77,71,Non-Indigenous Community,Town,Newfoundland and Labrador,1008
669,1008040,Baytona,262,78,48,96,66,72,Non-Indigenous Community,Town,Newfoundland and Labrador,1008
